branch,group,group_name,subgroup,diagram_title,part_count,source_url,image_url
body_chassis_44V,42,42,093,BRAKE LINES USED WITH ETS/ASR (CODE 212/471),9,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=093&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B420/B42093000001.991029.png&hash=aa716d825507eaa4daec5a2faad6e1c8
body_chassis_44V,42,42,095,BRAKE LINES USED WITH ESP (CODE 472),23,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=095&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B420/B42095000001.990819.png&hash=960ca7b9c5b7812ba203695898fcc955
body_chassis_44V,42,42,121,BRAKE LINE MOUNTING,19,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=121&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B421/B42121000005.990819.png&hash=d856b0b69d98ede5ea1ace22487f4357
body_chassis_44V,42,42,145,FOOT OPERATED PARKING BRAKE,43,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=42&subgroup=145&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B421/B42145000008.990510.png&hash=10ae311f1b74238f2aac6a2748607183
body_chassis_44V,46,46,015,STEERING GEAR,40,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=46&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B460/B46015000037.980407.png&hash=6177c5471771257e5175f2fefb8d5b48
body_chassis_44V,46,46,060,RANGE OF LINES,18,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=46&subgroup=060&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B460/B46060000109.991029.png&hash=0271b4e9ae926a8cfcd0e3c9c05e1c2f
body_chassis_44V,46,46,075,STEERG.COLUMN JACKET TUBE & STEERG. SHAFT,29,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=46&subgroup=075&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B460/B46075000026.980408.png&hash=c94593954e63b2a0599afc0ef0bc6654
body_chassis_44V,46,46,080,"STEERING COLUMN JACKET TUBE AND STEERING SHAFT,MANUALLY ADJUSTABLE",43,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=46&subgroup=080&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B460/B46080000001.990510.png&hash=5ee232fcdac73220ac5b8d0fb3a11d64
body_chassis_44V,46,46,105,STEERING WHEEL AND STEERING LOCK,56,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=46&subgroup=105&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B461/B46105000082.071019.png&hash=85e356639b79670ca11ecfa2579b8a7c
body_chassis_44V,46,46,120,STEERING LINKAGE,23,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=46&subgroup=120&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B461/B46120000086.990510.png&hash=960a2a43b27c5b89f2b1ffe6ddcc7d92
body_chassis_44V,47,47,015,FUEL TANK WITH ATTACHMENT PARTS,46,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=47&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B470/B47015000083.000229.png&hash=be2b095993268b48de51b8e88fb0e6c3
body_chassis_44V,47,47,030,FUEL PUMP PACKAGE,32,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=47&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B470/B47030000096.080430.png&hash=fc535d16ae16bb75653dac27d8237def
body_chassis_44V,47,47,035,"FUEL LINES, GASOLINE VEHICLES",54,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=47&subgroup=035&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B470/B47035000246.080305.png&hash=6524420e0405c49100f4f6f8663dcf81
body_chassis_44V,47,47,040,"FUEL LINES, DIESEL VEHICLES",0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=47&subgroup=040&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B470/B47040000057.080305.png&hash=d3fe9641ff49bd72c66968b16e383ba8
body_chassis_44V,47,47,060,CLOSED FUEL-EVAPORATION-CONTROL SYSTEM,43,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=47&subgroup=060&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B470/B47060000246.080305.png&hash=565fbe760d00237c436a6224d99eec46
body_chassis_44V,47,47,900,ADDITONAL PARTS FOR GAS OPERATION,0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=47&subgroup=900&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B479/B47900000001.980428.png&hash=77e6ae527985f15bc5f2cf3e1b024103
